User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1000413,M,63,11,C,0,0
1000414,M,41,0,C,4+,0
1000415,F,26,0,A,2,1
1000416,M,23,14,C,3,1
1000417,F,60,0,C,0,1
1000418,F,42,3,B,0,1
1000419,M,62,3,C,1,0
1000420,M,36,1,A,1,0
1000421,F,37,3,A,1,1
1000422,M,65,17,A,4+,0
1000423,M,19,4,A,1,0
1000424,M,35,17,A,3,0
1000425,M,31,12,B,1,1
1000426,M,35,4,A,1,1
1000429,M,26,0,C,1,0
1000430,F,31,10,C,1,1
1000431,M,50,10,B,3,0
1000433,M,57,6,C,3,1
1000434,F,57,3,C,1,0
1000435,M,39,7,A,4+,0
1000436,M,48,4,C,1,0
1000437,M,34,17,C,2,1
1000438,M,58,11,A,3,0
1000439,M,62,14,B,3,1
1000442,M,29,1,A,2,0
1000443,M,43,3,A,0,1
1000444,M,56,0,A,3,0
1000445,M,58,12,A,1,1
1000446,F,37,0,C,2,0
1000447,F,46,11,A,1,0
1000448,M,54,17,C,0,0
1000449,M,31,7,C,3,0
1000450,M,36,1,C,1,1
1000451,M,48,13,C,4+,1
1000452,M,20,17,A,3,1
1000453,M,24,4,B,1,0
1000454,M,30,20,C,2,1
1000456,M,53,0,A,0,0
1000457,M,30,4,B,2,0
1000458,M,33,16,C,1,1
1000459,F,47,4,A,3,0
1000460,M,40,18,C,2,0
1000461,M,61,7,B,0,0
1000462,M,59,16,C,1,1
1000463,M,32,7,A,4+,1
1000464,F,33,4,A,3,0
1000465,M,48,19,C,2,0
1000466,M,37,5,A,2,0
1000467,F,37,3,B,4+,1
1000468,F,30,10,B,1,0
1000469,M,27,6,B,0,1
1000470,F,21,10,C,2,0
1000471,M,19,7,A,3,0
1000473,F,40,4,A,1,0
1000474,M,36,17,B,1,0
1000476,M,40,0,B,0,0
1000477,M,49,14,A,1,0
1000478,M,65,16,A,2,0
1000479,M,27,12,C,0,0
1000480,F,37,4,C,1,0
1000481,M,47,7,C,2,0
1000482,M,56,14,A,2,1
1000483,M,32,12,A,4+,0
1000484,F,49,10,A,2,0
1000486,M,23,0,C,0,0
1000487,F,34,17,B,0,1
1000490,M,58,10,B,1,0
1000492,M,55,12,A,0,0
1000493,M,28,7,C,1,1
1000496,M,43,4,A,3,0
1000498,M,53,17,A,1,0
1000499,F,63,1,A,1,0
1000500,F,58,2,A,0,0
1000501,M,32,2,C,4+,1
1000502,M,30,6,B,1,0
1000503,M,50,11,C,0,1
1000504,M,53,2,C,2,0
1000505,M,58,17,C,2,1
1000506,M,61,16,C,1,0
1000507,F,60,0,A,4+,1
1000508,M,26,12,B,0,0
1000509,M,43,2,A,0,1
1000510,M,31,12,C,3,0
1000511,F,21,4,C,1,1
1000513,M,64,0,C,4+,0
1000514,M,47,2,A,1,1
1000515,M,26,1,A,0,1
1000516,F,28,14,C,2,0
1000517,F,28,14,A,1,0
1000518,F,52,12,C,4+,0
1000519,F,52,14,C,4+,1
1000520,F,64,20,A,2,0
1000522,M,61,12,C,1,0
1000523,M,29,7,A,1,1
1000524,M,60,0,A,0,0
1000525,M,30,6,C,2,0
1000526,M,38,17,C,1,1
1000529,M,39,12,C,1,0
1000530,M,29,2,A,1,1
1000531,F,42,14,B,0,0
1000532,M,42,7,C,2,0
1000533,M,43,12,A,1,0
1000534,M,40,15,B,3,1
1000535,M,63,6,B,3,1
1000536,M,48,20,C,1,0
1000539,M,43,2,C,4+,0
1000540,M,21,1,B,1,0
1000541,F,59,4,C,3,0
1000543,M,53,5,B,4+,1
1000544,M,19,12,B,2,0
1000545,M,36,17,C,2,0
1000546,F,18,0,B,0,0
1000547,M,36,12,B,3,0
1000548,F,45,16,C,1,1
1000549,M,44,6,A,3,0
1000550,M,46,8,B,1,1
1000551,M,47,20,A,4+,1
1000552,M,51,18,C,3,1
1000553,M,37,2,B,1,0
1000554,M,64,12,C,0,1
1000555,M,41,4,B,4+,0
1000556,F,60,9,B,4+,0
1000557,M,49,1,A,3,0
1000560,M,54,15,C,1,1
1000563,M,19,4,A,3,0
1000564,M,62,1,C,1,0
1000565,M,19,16,B,0,0
1000566,M,41,17,A,3,0
1000567,M,58,20,C,3,0
1000568,F,50,17,C,1,1
1000569,F,65,4,C,3,1
1000570,M,58,4,A,4+,0
1000571,M,37,5,C,3,1
1000573,F,43,2,B,0,0
1000574,M,37,19,C,4+,1
1000575,M,40,12,B,0,1
1000576,F,53,15,C,1,1
1000577,M,29,0,A,3,0
1000579,M,34,5,C,2,0
1000580,M,24,10,C,1,0
1000581,M,40,14,C,1,1
1000582,M,45,4,C,4+,0
1000583,F,65,0,A,4+,0
1000584,F,53,0,B,1,0
1000585,M,25,1,A,1,0
1000586,M,35,14,C,3,1
1000587,M,48,20,B,3,0
1000588,F,59,11,B,1,0
1000589,M,27,2,A,1,0
1000590,F,64,6,C,1,0
1000591,M,26,0,C,1,0
1000592,M,51,0,A,1,1
1000593,F,57,1,C,4+,0
1000594,F,34,13,B,3,0
1000595,M,21,7,A,1,0
1000596,F,54,1,C,2,1
1000597,M,22,12,C,3,1
1000598,M,30,7,C,1,1
1000599,M,33,6,A,3,1
1000600,M,50,17,C,0,1
1000601,F,42,20,B,3,1
1000602,F,29,6,C,2,0
1000603,F,63,6,C,1,1
1000604,M,42,17,C,2,1
1000605,F,38,4,C,0,0
1000606,F,48,10,C,2,0
1000608,M,35,4,C,3,1
1000609,M,43,7,B,1,0
1000610,M,28,4,B,1,0
1000611,M,62,0,C,1,0
1000612,M,55,7,C,1,0
1000613,M,38,20,C,1,1
1000615,M,25,17,C,3,0
1000616,M,28,7,B,2,0
1000617,F,49,7,C,1,0
1000618,M,26,0,B,3,0
1000619,F,59,1,B,0,0
1000620,M,46,0,A,3,0
1000622,M,25,0,B,1,1
1000623,M,47,17,C,3,1
1000624,M,21,1,B,3,0
1000625,F,20,12,C,2,1
1000626,M,53,4,B,4+,1
1000627,M,53,2,C,2,1
1000628,F,23,0,C,2,0
1000629,F,31,10,C,2,0
1000630,F,56,14,C,2,0
1000631,M,37,17,C,3,1
1000632,M,37,17,C,2,0
1000633,M,41,17,B,4+,0
1000634,F,48,10,C,4+,0
1000635,M,43,17,C,4+,1
1000636,M,19,20,C,4+,0
1000637,M,40,12,B,2,1
1000638,M,40,6,C,1,1
1000639,M,28,17,B,2,1
1000641,F,54,0,A,2,1
1000643,M,52,2,C,0,1
1000644,M,30,20,C,2,1
1000645,M,60,20,A,2,0
1000646,M,23,7,C,2,0
1000647,M,61,12,B,1,1
1000648,F,31,12,B,1,1
1000649,M,32,4,B,2,1
1000650,M,56,17,C,2,1
1000651,M,33,7,B,2,0
1000652,M,47,20,C,3,0
1000654,M,50,7,C,4+,1
1000655,F,51,2,B,2,0
1000656,F,20,16,C,3,1
1000657,F,62,13,C,1,0
1000658,F,58,0,B,1,0
1000659,F,18,0,C,4+,0
1000661,M,18,1,C,2,1
1000662,M,22,4,B,2,0
1000663,F,40,7,A,1,0
1000664,M,41,18,C,2,1
1000666,F,38,0,C,2,0
1000667,M,50,18,C,2,1
1000668,F,33,3,C,2,0
1000669,M,59,17,B,2,0
1000670,M,59,12,B,3,1
1000671,M,55,4,C,0,0
1000673,M,49,20,A,4+,0
1000674,M,34,17,C,4+,0
1000675,M,61,20,C,1,1
1000676,M,21,16,B,1,1
1000677,M,42,2,B,1,1
1000678,M,33,0,A,0,1
1000679,M,43,16,C,4+,1
1000680,M,57,12,C,1,0
1000681,M,26,7,C,3,1
1000682,M,46,4,C,1,0
1000683,M,18,4,A,3,1
1000685,M,53,4,A,1,1
1000686,M,33,4,A,1,1
1000687,F,34,7,C,4+,0
1000688,M,64,13,C,2,1
1000689,F,50,0,A,0,1
1000690,M,20,12,C,3,0
1000691,M,45,11,B,2,1
1000692,F,50,0,A,0,1
1000694,M,43,4,A,4+,0
1000695,F,29,1,A,2,0
1000698,M,56,4,A,1,0
1000700,M,62,17,C,1,1
1000701,F,37,4,B,0,0
1000702,M,46,7,B,2,1
1000704,F,22,8,C,2,0
1000705,M,61,4,C,0,1
1000706,M,54,20,B,2,0
1000707,M,20,7,C,1,0
1000708,M,26,0,C,2,0
1000709,M,18,0,C,1,0
1000710,M,23,20,A,4+,0
1000711,M,59,18,A,4+,0
1000712,M,40,0,B,2,0
1000713,M,35,7,B,3,0
1000714,M,42,4,B,2,0
1000715,M,35,0,B,1,0
1000717,M,45,11,C,0,0
1000718,M,51,2,C,2,0
1000719,M,25,0,C,4+,0
1000720,M,52,0,B,0,0
1000721,F,26,9,B,1,0
1000722,M,20,12,B,4+,0
1000723,M,31,12,C,3,1
1000724,M,55,13,B,2,1
1000725,M,26,11,A,1,0
1000726,F,31,9,C,0,1
1000727,M,45,11,B,4+,1
1000728,M,24,6,C,4+,0
1000729,M,62,12,C,0,0
1000730,M,39,0,C,4+,1
1000731,M,42,3,A,0,1
1000732,M,45,7,B,4+,0
1000733,M,57,16,C,1,1
1000734,M,25,7,C,1,1
1000735,M,39,14,A,3,0
1000736,M,53,12,C,0,1
1000737,M,65,19,A,2,0
1000738,M,52,17,C,1,0
1000739,M,49,12,C,3,0
1000740,M,25,14,C,1,0
1000741,M,23,5,C,1,1
1000742,M,46,0,C,1,0
1000743,F,63,2,A,2,0
1000744,M,40,17,B,2,0
1000746,F,51,19,B,3,0
1000748,M,55,0,C,4+,0
1000749,M,24,18,B,0,0
1000750,F,24,9,B,4+,1
1000751,F,24,17,C,3,0
1000752,F,54,3,A,3,0
1000753,M,29,10,C,1,0
1000754,M,18,7,C,3,0
1000755,F,45,0,B,3,1
1000756,M,60,0,C,2,0
1000757,M,43,12,A,1,0
1000758,M,53,7,C,3,1
1000759,F,43,3,C,1,0
1000760,M,24,15,A,4+,1
1000761,M,49,7,C,3,0
1000762,M,38,10,C,2,0
1000764,M,60,20,C,2,0
1000765,M,23,17,B,1,0
1000766,F,57,7,C,3,1
1000767,M,24,12,C,1,0
1000769,M,49,17,C,4+,1
1000770,M,41,4,B,2,1
1000771,F,55,1,C,0,0
1000772,M,32,12,C,2,0
1000773,M,28,6,B,3,0
1000774,M,55,4,A,4+,0
1000775,M,40,17,C,1,0
1000776,F,56,3,B,1,0
1000777,M,28,19,B,1,0
1000778,M,27,17,C,4+,0
1000779,M,54,0,B,2,1
1000780,M,55,17,B,3,0
1000783,M,39,4,A,2,0
1000785,M,21,19,C,4+,0
1000786,M,29,0,C,2,0
1000787,M,58,4,C,2,0
1000788,M,39,0,C,1,0
1000789,M,55,1,B,3,1
1000791,M,29,7,B,1,0
1000792,M,56,17,B,2,0
1000793,F,28,14,C,1,0
1000794,M,58,20,C,2,1
1000795,F,23,14,B,1,0
1000796,M,24,6,B,4+,1
1000797,F,59,7,C,1,0
1000798,F,55,20,C,1,1
1000799,F,62,5,C,3,1
1000801,F,42,20,C,4+,0
1000802,M,62,16,B,1,0
1000803,M,22,4,C,0,0
1000804,M,29,20,C,0,0
1000805,M,42,12,B,1,0
1000806,M,33,0,C,3,1
1000807,M,37,4,C,2,0
1000808,M,61,7,B,1,1
1000809,M,29,17,C,1,0
1000810,M,39,12,C,4+,0
1000811,M,22,0,A,0,1
1000812,M,44,6,C,2,0
1000813,M,62,4,C,1,1
1000814,F,38,4,B,1,0
1000816,M,31,0,C,2,0
1000817,M,18,4,B,2,0
1000818,M,20,4,C,2,0
1000819,M,61,7,A,1,0
1000820,M,34,7,A,1,0
1000821,M,56,2,C,2,0
1000822,F,60,1,B,0,1
1000823,M,60,0,C,1,0
1000824,M,38,12,A,2,1
1000825,M,61,1,C,4+,1
1000826,F,25,1,C,1,1
1000827,M,52,2,C,4+,1
1000828,M,31,4,C,2,0
1000829,M,41,19,A,2,0
1000830,M,55,7,A,3,0
1000832,M,32,2,C,4+,0
1000833,M,31,7,C,1,1
1000834,F,52,12,C,0,0
1000835,M,61,0,C,1,0
1000836,M,29,11,A,4+,0
1000837,M,19,7,C,1,1
1000838,M,62,17,C,0,0
1000839,M,33,0,A,2,0
1000840,F,23,3,C,1,1
1000842,F,32,0,B,3,0
1000843,M,29,7,B,2,1
1000844,M,33,0,B,3,1
1000845,F,63,0,A,2,0
1000846,M,39,5,C,3,1
1000847,F,45,7,B,1,1
1000848,M,60,15,B,0,0
1000849,M,31,3,B,2,1
1000850,M,22,0,A,3,1
1000851,M,54,4,B,1,0
1000852,M,41,5,C,1,0
1000853,M,38,17,B,4+,0
1000854,F,41,16,B,1,0
1000855,F,65,2,A,2,1
1000856,F,33,6,B,1,0
1000857,M,32,17,C,3,1
1000858,M,35,14,B,4+,0
1000859,M,64,12,B,4+,1
1000860,M,64,0,C,0,0
1000861,M,58,7,C,0,0
1000862,M,63,7,A,0,1
1000863,M,36,7,C,4+,0
1000864,F,56,0,B,3,0
1000867,M,39,12,C,1,1
1000868,M,34,17,C,4+,0
1000869,M,48,20,A,4+,1
1000870,F,42,1,B,4+,1
1000871,M,26,10,B,1,0
1000872,M,59,1,B,3,1
1000873,M,50,6,C,3,1
1000875,M,49,10,C,4+,0
1000877,M,59,0,B,1,1
1000878,M,33,2,C,2,0
1000880,M,34,17,A,1,0
1000881,M,47,14,A,1,0
1000882,M,33,2,C,4+,0
1000883,F,23,14,C,0,0
1000884,M,46,10,C,3,0
1000885,M,36,0,A,2,0
1000886,F,21,0,C,2,1
1000887,F,54,16,B,3,1
1000888,F,23,10,C,1,0
1000889,M,40,20,A,1,0
1000890,M,31,4,C,4+,0
1000891,M,59,1,C,4+,0
1000892,M,60,0,C,1,0
1000894,M,63,4,C,0,0
1000895,M,28,1,C,1,1
1000896,M,64,15,C,3,1
1000897,M,53,6,B,4+,0
1000898,M,49,7,B,2,0
1000899,F,18,1,B,3,1
1000900,F,63,13,C,2,1
1000901,F,41,0,C,0,1
1000903,M,34,13,C,2,1
1000904,M,37,20,B,4+,0
1000905,F,61,12,C,1,0
1000906,M,28,10,C,1,0
1000908,F,45,1,A,3,0
1000909,M,46,7,C,2,0
1000910,F,28,0,B,1,1
1000911,M,63,0,B,3,1
1000912,F,57,2,B,1,0
1000913,M,55,0,C,2,0
1000914,F,59,9,C,2,0
1000915,M,55,7,C,2,0
1000917,M,22,6,C,2,1
1000918,F,54,1,C,1,0
1000919,F,27,1,C,1,0
1000920,M,63,4,C,4+,0
1000921,M,47,17,B,1,0
1000922,M,42,16,B,2,1
1000923,M,27,7,C,3,1
1000924,M,27,17,C,1,1
1000925,F,28,3,A,2,0
1000926,M,24,10,C,1,0
1000927,F,63,20,C,1,1
1000928,F,65,16,C,4+,1
1000929,M,61,15,A,1,0
1000930,M,29,5,C,1,1
1000931,F,65,1,C,0,0
1000932,F,47,6,C,0,0
1000933,M,61,1,C,3,1
1000934,F,50,7,A,0,0
1000936,M,39,4,C,4+,0
1000937,M,39,15,A,2,1
1000939,F,50,20,C,2,0
1000940,M,39,10,C,4+,0
1000943,F,41,12,C,0,1
1000944,M,63,0,A,3,1
1000945,M,45,7,C,3,0
1000949,M,40,17,B,4+,1
1000950,M,44,7,C,4+,1
1000951,M,36,2,B,4+,1
1000952,M,20,16,C,0,1
1000953,M,23,20,B,1,1
1000954,F,47,0,B,1,1
1000955,F,62,7,B,1,1
1000956,M,37,1,A,3,1
1000957,M,47,1,C,2,1
1000958,M,30,2,C,3,0
1000959,M,64,11,C,1,0
1000960,M,48,10,C,4+,0
1000961,M,60,10,A,2,0
1000963,M,42,0,A,0,1
1000964,M,43,7,B,1,1
1000966,M,55,2,C,4+,0
1000967,F,25,0,B,3,0
1000968,M,22,12,A,4+,1
1000969,F,45,11,C,3,1
1000970,M,32,0,B,4+,1
1000971,M,50,12,B,2,1
